,Cast,Twit foll,,
222,rahul dev,0.0796,,
223,anuradha mukherjee,0.0005,,
224,yashpal sharma,,,
225,salman khan,39.9,,
226,dinesh bawra,,,
227,mandeep kaur mannnat,,,
228,nargis fakhri,4,,
229,mouni roy,3.1,,
230,kajol,2.8,,
231,mandira bedi,1.3,,
232,vardhan puri,0.0008,,
233,soham shah,,,
234,zoya afroz,0.015,,
235,rajeev khandelwal,0.064,,
236,ayushman khurrana,5.3,,
237,gautam rode,1.7,,
238,jassi gill,,,
239,diana khan,,,
240,riddhi sen,,,
241,urvashi rautela,0.62,,
242,mahie gill,0.005,,
243,mithun chakraborty,0.0009,,
244,makarand deshpande,,,
245,aayush sharma,0.141,,
246,abhimanyu dassani,0.004,,
247,aadar jain,0.003,,
248,mustafa burmawalla,,,
249,aashi rawal,,,
250,prithviraj sukumaran,0.353,,
251,tanvi vyas,,,
252,konkona sen sharma,2.3,,
253,aishwarya devan,,,
254,mousam sharma,,,
255,neil nitin mukesh,1.6,,
256,lalit behl,,,
257,pooja banerjee,0.01,,
258,katrina kaif,,F,alia
259,huma qureshi,3.4,,
260,raghu raja,,,
261,shiv darshan,,,
262,swati kapoor,,,
263,priya banerjee,0.0227,,
264,nimisha mehta,0.002,,
265,gurleen chopra,,,
266,anushka sharma,21.2,,
267,vije bhatia,,,
268,sunny kaushal,,,
269,myra vishwakarma,,,
270,freida pinto,0.0548,,
271,prit kamani,,,
272,shah rukh khan,39.9,,
273,akshay oberoi,0.005,,
274,karanvir bohra,0.187,,
275,raai laxmi,1.7,,
276,saqib saleem,0.098,,
277,ananth narayan mahadevan,,,
278,nushrat bharucha,0.237,,
279,shraddha kapoor,12.5,,
280,anirudh tanwar,,,
281,zaheer iqbal,,,
282,raveena tandon,1.9,,
283,karan kapadia,,,
284,sanjay suri,0.141,,
285,sapan krishna,,,
286,sonakshi sinha,15.5,,
287,emraan hashmi,2.4,,
288,aditya seal,0.007,,
289,dulquer salman,1.8,,
290,zoya hussain,,,
291,ashish vidyarthi,0.013,,
292,sridevi,,F,
293,sooraj pancholi,0.007,,
294,vinay pathak,0.246,,
295,diana penty,1.4,,
296,juhi chawla,4.9,,
