,comments,pub_dates,like_Counts
71,this movie might get standing ovation abroad but in india the people want salman/sharuk defying laws of physics and some dance moves with some easy to remember songs..,2017-06-30T09:39:35.000Z,21
72,"Already movie is made on it, same story",2017-06-10T16:22:41.000Z,1
73,already Documentary  had been made............,2017-06-09T16:32:30.000Z,2
74,modi,2017-06-09T04:37:18.000Z,0
75,this is a art .this is i always tell to bollywood  they dont have to follow hollywood and copy movies they can make their own orginal movie .for example this movie,2017-05-31T14:19:20.000Z,12
76,"tum aaoge? 
kaha? banaras ya ""taw""

haha",2017-05-20T12:10:59.000Z,12
77,Can someone please tell me the song that plays at the end of the trailer? I know its a Pakistani folk singer because I have heard it before I just cant remember... please help!,2017-05-16T12:05:59.000Z,2
78,where can I watch it online?,2017-05-13T08:49:59.000Z,0
79,I'm dying to see this movie...can someone temme plzz whr can i watch this movie online..its a brilliant trailer👌👌,2017-05-11T12:14:37.000Z,0
80,"Watched yesterday ...beautiful movie . Only thing which i felt that it was missing that ""Slow songs playing in back to enhance the effects "" like ""tu kisi rail in Masaan . Director knows that this type of movie has very selective audience , and all are very happy and appreciate your work.",2017-05-11T09:45:02.000Z,10
81,"yar ab is movie main kaha dekhu??
koi bata de mujhe please",2017-05-09T19:20:52.000Z,2
82,Congratulations on winning the best film award in The New York  Indian film festival  ! Proud.,2017-05-09T11:57:21.000Z,7
83,copied from a short story,2017-05-08T16:44:28.000Z,3
84,make me emotional. too good,2017-05-07T00:53:58.000Z,0
85,When is the dvd coming out?,2017-05-06T22:31:27.000Z,0
86,damn....makes u think about life  n it's meaning .,2017-05-06T15:26:21.000Z,0
87,Commercial movies like Half Girlfriend etc are just meant for entertainment. These kind of movies are real gem.,2017-05-05T08:19:31.000Z,7
88,"Desperately looking forward to watching this. Remind me of Masaan , what a brilliant piece of art Father-Son relation.",2017-05-05T08:18:47.000Z,2
89,it's a must watch movie👌👌,2017-05-04T02:26:19.000Z,1
90,wonderful piece of indian cinema .,2017-04-29T15:23:42.000Z,1
91,end credits kai upar thumbnail dalte ho very smart,2017-04-25T15:01:23.000Z,1
