,comments,pub_dates,like_Counts
72,I know Rajkumar is nowhere near Shahrukh khan's caliber but his natural acting chops remind me of Shahrukh,2019-12-13T16:33:05.000Z,1
73,https://www.youtube.com/watch?v=aBO-L7m83vQ,2019-12-13T09:43:51.000Z,0
74,re release the movie....,2019-12-13T09:04:25.000Z,0
75,Fvrt movieee ever ❤️,2019-12-12T15:42:14.000Z,2
76,"Kitni mast ladki hai, kash ye meri behen hoti..😂😂😂",2019-12-12T15:02:35.000Z,8
77,Wow. Shruti Hasan. She is very #beautiful,2019-12-12T15:00:20.000Z,1
78,"Best dialogue ""aisa kaun sa ladka hai jo kisi ladki ko dekh kar ye sochta hai ki kash yeh hamari behen hoti""",2019-12-12T14:54:26.000Z,5
79,Cool. It is be well.,2019-12-07T19:17:28.000Z,1
80,2:10 I'm in,2019-12-03T05:53:14.000Z,2
81,shruti hassan wow !! no matter how old she gets or what she wears she always looks soo pataka fucking hell big boner,2019-11-29T19:40:05.000Z,0
82,Hi,2019-11-29T12:25:54.000Z,0
83,My favorite hero...rajkumar rao,2019-11-26T07:59:44.000Z,3
84,Mere ko mip rhi nhi h,2019-11-25T10:15:07.000Z,0
85,Bhai ye film kab release hui thi,2019-11-25T10:14:44.000Z,0
86,indian culture radnwa culture hai fake rapists terorists madarchodos aur sirf publicity ..... randi ol school women aur men ............. jaago mentally grow up,2019-11-24T18:41:26.000Z,0
87,"Awesome movie too underrated loved it thoroughly and last drunken scene of Rahul complaint had me in splits, Rajkumar rao is a superstar",2019-11-24T03:33:11.000Z,2
88,"PART 2 PLEASE 
HERO RAJKUMAR HI HO",2019-11-23T10:10:33.000Z,0
89,Super,2019-11-22T14:00:17.000Z,0
90,Excellent dialogue... movie jarur dekhenge just bcz of Rajkumar Rao😘😘,2019-11-21T07:32:31.000Z,0
91,"Film dekhne ki zaruurat Nahin.
Trailer me poori kahani dikha dee",2019-11-20T14:27:03.000Z,0
92,Kab aayega bhai,2019-11-19T14:02:50.000Z,0
93,All the best,2019-11-18T22:03:28.000Z,0
94,I love this hero rajkumar,2019-11-18T21:03:43.000Z,0
95,Superhit honi h rajkumaar rao is the best actor,2019-11-16T15:42:26.000Z,0
96,Rajkumaar bht spcl actors mei h,2019-11-16T15:40:11.000Z,0
97,release kab?,2019-11-16T12:22:08.000Z,0
98,plz full film upload kijye,2019-11-16T06:18:50.000Z,0
99,Chhota yuvraj,2019-11-15T09:16:28.000Z,0
100,My favorite actor,2019-11-15T02:52:17.000Z,0
101,Super,2019-11-13T08:31:10.000Z,0
102,Full film dalo,2019-11-12T13:20:05.000Z,0
103,Nice,2019-11-12T12:47:18.000Z,0
104,Rajkumar rao..suparstar..mega suparstar.h..kya natural acting h,2019-11-11T18:09:12.000Z,0
105,Love❤😘,2019-11-11T14:56:25.000Z,0
106,"Now...
In every movie of rajkumar and ayushman SRK ki movies ka zikar hota h.....Bollywood is incomplete without SRK❤",2019-11-11T08:16:12.000Z,0
107,He belongs to a noncelebrity family..he creates his own identity..👍 rajkumar,2019-11-11T04:20:32.000Z,1
108,Superhit comedy movies,2019-11-10T04:34:42.000Z,0
109,Bhai koi ye move dalo yrdekhni ha,2019-11-09T12:57:33.000Z,0
110,Nice,2019-11-07T19:13:26.000Z,0
111,JAKASSSSSSSSSSSSS,2019-11-07T17:55:41.000Z,0
112,plzz upload  this movie  plz.. Plz. . plz,2019-10-31T02:40:30.000Z,1
113,Rahul 🤣🤣🤣,2019-10-28T13:50:05.000Z,0
114,Are ka thik h kan me pani pani pini pini ho rha h 🤣🤣🤣,2019-10-28T13:48:42.000Z,2
115,Raj kumar Rao you are a superb actor😊,2019-10-27T18:16:30.000Z,0
116,Binni ke bhen kiiiiiiiiiiii******,2019-10-27T05:14:45.000Z,0
117,are ye yaar ye rajkumar kaisa dikta hai shruti hasan iske sath kam kaise kiya shruti hasan kiske bhi sath kam mat kiya karo aapki reputation khatam ho jayegi,2019-10-25T12:45:22.000Z,0
118,Yar ye full movie kahan mily gi??? Any one tell me,2019-10-22T05:58:32.000Z,1
119,Madarchod,2019-10-19T19:40:45.000Z,0
120,from rez ambience,2019-10-16T00:54:23.000Z,0
121,Rajkummar Rao... True star.. ❤️❤️,2019-10-04T20:48:41.000Z,1
122,Nice,2019-10-04T03:03:36.000Z,0
