,comments,pub_dates,like_Counts
1977,yeaaaaaaaaaaah....thnku papa g :*,2017-01-25T18:56:12.000Z,0
1978,"Papa ji, Didi ji 😍😍😍 
Wow Amazing Trailor EVER 
Ur look Papa ji ⚘⚘🙊😍",2017-01-25T18:56:12.000Z,0
1979,Really awesome 👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻,2017-01-25T18:56:08.000Z,0
1980,Amazing trailer...,2017-01-25T18:56:01.000Z,0
1981,Love you papa ji,2017-01-25T18:56:00.000Z,0
1982,"बड़ा पसंद आया जी 

ये तो हमे कुबूल है जी 

👌👌👌👌",2017-01-25T18:56:00.000Z,0
1983,Bht amazing trailor h.... Movie will definitely rock,2017-01-25T18:55:59.000Z,0
1984,Fabulous.. Mind blowing,2017-01-25T18:55:54.000Z,0
1985,Fantastic msg,2017-01-25T18:55:48.000Z,0
1986,awesome papa g...we r waiting for movie...,2017-01-25T18:55:41.000Z,0
1987,fabulous again...Guru G what a great Trailer and tooooo Good...,2017-01-25T18:55:41.000Z,0
1988,hind ka Napak Ko Jawab.....,2017-01-25T18:55:35.000Z,0
1989,Jai Hind,2017-01-25T18:55:35.000Z,1
1990,lovely trailer................,2017-01-25T18:55:31.000Z,0
1991,Sher E Hind Ka pakistan ko jawab... A1 Reply Dr. St. Gurmeet Ram Rahim Singh Ji Insan,2017-01-25T18:55:27.000Z,1
1992,This is the best movie in all respect of views. All the actors done very well. Movie is delivering many social messages along with positivity.,2017-01-25T18:55:24.000Z,1
1993,nice,2017-01-25T18:55:24.000Z,0
1994,BALLE-BALLE thax,2017-01-25T18:55:23.000Z,0
1995,brilliant msg,2017-01-25T18:55:18.000Z,0
1996,awesome pita g👌👌👌loved iy,2017-01-25T18:55:18.000Z,0
1997,trailer ne hi damal maccha di  h to film kya hogi papaji,2017-01-25T18:55:17.000Z,0
1998,superb guru ji...,2017-01-25T18:55:17.000Z,0
1999,WoW!!!,2017-01-25T18:55:15.000Z,0
2000,"wah.guru ji....kyaa baat hai 
superb superb superb",2017-01-25T18:55:14.000Z,0
2001,Waooo superb trailer 👌👏👏,2017-01-25T18:55:14.000Z,1
2002,No words for this trailer but we can feel this,2017-01-25T18:55:14.000Z,0
