Cast,category
zarine khan,3
shaurya singh,4
gulshan grover,3
devshi khanduri,4
anuj sachdeva,4
sameksha,4
ratna pathak,2
soha ali khan,2
sunny deol,3
zakir hussain,3
govind namdev,4
satyadeep misra,4
paresh rawal,2
arbaaz khan,2
yami gautam,2
aarav negi,4
ruhi singh,4
aditya roy kapur,3
sanjay singh,4
sharad malhotra,4
aditi rao hydari,3
anjali patil,4
hina khan,3
aksha pardasany,4
govinda,2
esha gupta,3
rakhi sawant,4
kunaal roy kapur,3
priya anand,2
kartik aaryan,3
aftab shivdasani,3
mahira khan,2
aishwarya rajesh,2
sayyeshaa,3
sahher bambba,4
rani mukerji,2
tapsee pannu,4
manisha singh,4
riva kishan,4
dipti dhotre,4
amit sadh,4
jhanvi kapoor,3
vivan bhatena,4
gashmeer mahajani,4
naseeruddin shah,1
gauhar khan,3
kalki koechlin,2
kumud mishra,4
sanjay mishra,4
sukhottam insan,4
akshaye khanna,4
priyanka chopra,1
gillian anderson,3
sudha chandran,3
rohan shah,4
vijay varma,4
zareen khan,3
ravi kishan,3
manish paul,3
jayesh raj,4
zain khan durrani,4
amrita rao,3
meera chopra,4
vineet kumar singh,4
neha chauhan,4
karan deol,4
rishi kapoor,2
shoaib ibrahim,4
krishna chaturvedi,4
natalya llina,4
padmapriya janakiraman,4
taaha shah,4
urmilaa mahanta,4
vikrant massey,4
adah sharma,2
chandrachur singh,4
richa chadha,2
bhumika chawla,4
sudhir pandey,4
rajat kapoor,4
shivam bhaargava,4
reecha sinha,4
isha talwar,3
suha gezen,4
gurmeet ram rahim singh,2
aarun nagar,4
shakti kapoor,4
patralekha,4
sidharth malhotra,2
shrenu parikh,4
utkarsh sharma,4
sunny singh,4
mohit raina,4
mir sarwar,4
rasika dugal,4
omkar kapoor,4
jitendra kumar,4
ishaan khatter,3
aditi charak,4
nathalia kaur,4
sandeep bharadwaj,4
suraj sharma,4
maanvi gagroo,4
kay kay menon,3
ragini khanna,4
kriti sanon,2
adhyayan suman,4
pavail gulati,4
sonal singh,4
sanaya irani,3
banita sandhu,4
gavie chahal,4
bidita bag,4
tushar kapoor,3
sonia mann,4
akshay rangshahi,4
gippy grewal,2
kangana ranaut,2
sharmin segal,4
tara sutaria,3
virendra saxena,4
vaani kapoor,3
tillotama shome,4
ali fazal,3
dharmendra,3
vikrant anand,4
vinay rana,4
pooja sawant,4
rajbeer singh,4
tamannaah,2
sid mallya,3
archana shastry,4
athiya shetty,2
sushant singh rajput,2
megha akash,3
arunoday singh,4
ranveer singh,1
neha dhupia,2
kritika kamra,3
himesh reshammiya,4
ashwin mushran,4
govind namdeo,4
harshvardhan kapoor,3
arsh sehrawat,4
shiv panditt,4
ira dubey,4
manav vij,4
ayushman khurana,2
avinash tiwary,4
natasha fernandez,4
talha arshad reshi,4
sara loren,4
sudev nair,4
preity zinta,2
jacqueline fernandez,1
